,maximum price for this item in all shops,the shops id that sold this item at maximum price,amount in all months
4081,999.0,16,1.0
4082,699.0,16,1.0
4083,299.0,54,12.0
4084,499.0,25,65.0
4085,499.0,31,73.0
4086,249.0,28,5.0
4087,1599.0,25,1.0
4088,1549.0,25,3.0
4089,999.0,25,1.0
4090,1549.0,25,2.0
4091,1499.0,6,4.0
4092,349.0,31,43.0
4093,1549.0,25,8.0
4094,499.0,31,4.0
4095,299.0,31,3.0
4096,699.0,6,1.0
4097,349.0,54,2.0
4098,349.0,31,3.0
4099,299.0,31,5.0
4100,449.0,31,45.0
4101,2999.0,42,1.0
4102,349.0,31,37.0
4103,2749.0,46,2.0
4104,849.0,6,5.0
4105,299.0,25,5.0
4106,299.0,28,9.0
4107,349.0,25,31.0
4108,1399.0,34,1.0
4109,1799.0,25,1.0
4110,349.0,31,37.0
4111,1499.0,25,7.0
4112,649.0,19,6.0
4113,349.0,57,3.0
4114,299.0,54,6.0
4115,299.0,31,19.0
4116,1549.0,25,2.0
4117,2349.0,25,15.0
4118,299.0,31,10.0
4119,299.0,37,1.0
4120,799.0,25,3.0
4121,279.0,38,1.0
4122,350.0,55,17.0
4123,199.0,25,10.0
4124,249.0,28,12.0
4125,299.0,18,4.0
4126,28.0,38,1.0
4127,1190.0,22,28.0
4128,899.0,29,56.0
4129,1290.0,57,59.0
4130,1200.0,55,1.0
4131,1200.0,55,8.0
4132,899.0,22,46.0
4133,900.0,55,11.0
4134,900.0,55,10.0
4135,1190.0,57,45.0
4136,1200.0,55,6.0
4137,1200.0,55,22.0
4138,899.0,57,48.0
4139,900.0,55,55.0
4140,900.0,55,13.0
4141,1190.0,57,2.0
4142,1200.0,55,2.0
4143,990.0,22,1.0
4144,990.0,55,2.0
4145,990.0,55,3.0
4146,720.0,55,3.0
4147,2190.0,24,22.0
4148,1590.0,31,19.0
4149,1990.0,55,18.0
4150,1990.0,55,9.0
4151,1540.0,55,42.0
4152,1540.0,55,34.0
4153,2090.0,50,2.0
4154,1490.0,29,1.0
4155,948.6,12,10.0
4157,1000.0,12,10.0
4158,898.0,12,15.0
4159,653.0,10,1.0
4160,1088.0,0,1.0
4161,932.333333333,15,195.0
4162,1600.0,55,2.0
4163,1590.0,31,176.0
4164,999.0,24,218.0
4165,1090.0,12,3.0
4166,3890.0,12,11.0
4167,2690.0,30,1.0
4168,960.0,55,38.0
4169,960.0,55,120.0
4170,1490.0,55,14.0
4171,1200.0,55,42.0
4172,1990.0,55,3.0
4173,2900.0,55,20.0
4174,3900.0,55,4.0
4175,1600.0,55,16.0
4176,1600.0,55,18.0
4177,1200.0,55,22.0
4178,1600.0,24,431.0
4179,1600.0,55,32.0
4180,1600.0,55,28.0
4181,1290.0,15,790.0
4182,1190.0,18,1.0
4183,1320.0,55,77.0
4184,1320.0,55,68.0
4185,1990.0,55,5.0
4186,2090.0,24,67.0
4187,1990.0,55,10.0
4188,1990.0,55,28.0
4189,1490.0,55,8.0
4190,1690.0,31,38.0
4191,1490.0,55,34.0
4192,1490.0,55,81.0
4193,3900.0,55,2.0
4194,3890.0,12,2.0
4195,3900.0,55,7.0
4196,2900.0,55,3.0
4197,2890.0,31,5.0
4198,2900.0,55,10.0
4199,399.0,55,29.0
4200,300.0,55,14.0
4201,399.0,9,194.0
4202,300.0,55,18.0
4203,399.0,55,19.0
4204,1200.0,55,1.0
4205,900.0,55,2.0
4206,1200.0,55,1.0
4207,1200.0,55,1.0
4208,900.0,55,1.0
4209,150.0,55,2.0
4210,1990.0,55,1.0
4211,1990.0,24,20.0
4212,900.0,55,2.0
4213,900.0,55,1.0
4214,5900.0,55,1.0
4215,3900.0,55,1.0
4216,1180.0,12,5.0
4217,1990.0,55,21.0
4218,1990.0,55,8.0
4219,1490.0,55,15.0
4220,1490.0,55,13.0
4221,2390.0,55,9.0
4222,2390.0,55,4.0
4223,1790.0,55,2.0
4224,499.0,55,2.0
4225,399.0,31,25.0
4226,27.0,0,1.0
4227,899.0,18,15.0
4228,1199.0,28,117.0
4229,1499.0,18,16.0
4230,498.0,14,1.0
4231,2799.0,25,267.0
4232,999.0,42,4.0
4233,1699.0,31,181.0
4234,599.0,7,7.0
4235,490.0,55,4.0
4236,790.0,55,2.0
4237,490.0,25,1.0
4238,490.0,55,1.0
4239,790.0,24,10.0
4240,1999.0,58,154.0
4241,1399.0,28,58.0
4242,1299.0,58,51.0
4243,1398.0,22,1.0
4244,1999.0,28,253.0
4245,1699.0,28,36.0
4246,1599.0,7,2.0
4247,1999.0,27,36.0
4248,1999.0,58,261.0
4249,1899.0,27,247.0
4250,1599.0,7,1.0
4251,399.0,31,109.0
4252,599.0,25,14.0
4253,350.0,55,34.0
4254,499.0,55,12.0
4255,199.0,55,67.0
4256,99.0,55,33.0
4257,499.0,55,27.0
4258,299.0,55,7.0
4259,400.0,55,23.0
4260,499.0,55,123.0
4261,499.0,31,125.0
4262,298.0,24,1.0
4263,99.0,55,1.0
4264,299.0,55,6.0
4265,499.0,54,133.0
4266,1199.0,31,53.0
4267,1199.0,31,34.0
4268,99.0,55,1.0
4269,58.0,59,1.0
4270,450.0,55,17.0
4271,2799.0,31,127.0
4272,498.0,29,1.0
4273,398.0,32,1.0
4274,249.0,55,24.0
4275,49.0,55,17.0
4276,20.0,55,16.0
4277,1299.0,7,6.0
4278,698.0,14,1.0
4279,239.0,55,2.0
4280,699.0,55,66.0
4281,1399.0,22,1.0
4282,549.0,25,68.0
4283,98.0,2,1.0
4284,1798.0,22,1.0
4285,349.0,31,57.0
4286,1149.0,42,9.0
4287,199.0,31,10.0
4288,399.0,57,3.0
4289,399.0,54,2.0
4290,349.0,25,19.0
4291,299.0,27,6.0
4292,1399.0,6,1.0
4293,299.0,31,9.0
4294,549.0,25,1.0
4295,58.0,25,1.0
4296,299.0,31,82.0
4297,1349.0,6,6.0
4298,2249.0,54,16.0
4299,299.0,27,3.0
4300,449.0,6,46.0
4301,2799.0,31,3.0
4302,649.0,25,4.0
4303,299.0,31,18.0
4304,299.0,31,6.0
4305,399.0,31,19.0
4306,1049.0,25,1.0
4307,1349.0,6,18.0
4308,2599.0,18,12.0
4309,749.0,54,11.0
4311,6499.0,14,2.0
4312,1999.0,25,7.0
4313,299.0,54,1.0
4314,2049.0,31,4.0
4315,2449.0,25,3.0
4316,1999.0,25,4.0
4317,299.0,18,1.0
4319,599.0,25,1.0
4320,549.0,25,6.0
4321,549.0,25,2.0
4322,549.0,25,4.0
4323,399.0,31,37.0
4324,1299.0,54,1.0
4325,349.0,25,11.0
4326,4999.0,25,1.0
4327,449.0,54,5.0
4328,149.0,31,8.0
4329,105.0,55,7.0
4330,1799.0,28,14.0
4331,1999.0,25,3.0
4332,449.0,57,141.0
4333,1999.0,3,6.0
4334,799.0,31,49.0
4335,1899.0,28,19.0
4336,2899.0,47,42.0
4337,3499.0,28,25.0
4338,2899.0,28,27.0
4339,2999.0,27,7.0
4340,499.0,55,15.0
4341,799.0,55,7.0
4342,349.0,55,4.0
4343,899.0,55,5.0
4344,899.0,31,11.0
4345,599.0,31,49.0
4346,299.0,55,15.0
4347,399.0,55,9.0
4348,1399.0,27,9.0
4349,1399.0,28,29.0
4350,1399.0,31,22.0
4351,399.0,31,201.0
4352,1699.0,31,50.0
4353,1999.0,28,99.0
4354,2799.0,28,44.0
4355,2399.0,27,121.0
4356,2499.0,28,7.0
4357,399.0,31,109.0
4358,419.0,55,108.0
4359,1799.0,28,27.0
4360,2199.0,28,62.0
4361,2799.0,28,25.0
4362,2199.0,28,55.0
4363,2499.0,28,5.0
4364,1799.0,31,14.0
4365,1399.0,28,21.0
4366,449.0,57,22.0
4367,1399.0,16,5.0
4368,98.0,22,2.0
4369,419.0,55,15.0
4370,599.0,57,87.0
4371,1799.0,54,36.0
4372,1999.0,28,84.0
4373,1999.0,28,50.0
4374,599.0,31,51.0
4375,449.0,18,3.0
4376,1398.0,24,4.0
4377,1499.0,46,3.0
4378,599.0,19,1.0
4379,599.0,32,1.0
4380,199.0,58,81.0
4381,199.0,57,45.0
4382,199.0,57,62.0
4383,17999.0,6,3.0
4384,13499.0,12,5.0
4385,599.0,31,43.0
4386,599.0,55,115.0
4387,2599.0,28,30.0
4388,2999.0,28,21.0
4389,2599.0,25,9.0
4390,2999.0,38,4.0
4391,599.0,31,61.0
4392,499.0,55,245.0
4393,1999.0,31,11.0
4394,2599.0,25,22.0
4395,2999.0,25,23.0
4396,2599.0,57,21.0
4397,2499.0,5,2.0
4398,148.0,26,1.0
4399,249.0,31,4.0
4400,249.0,31,5.0
4401,249.0,31,13.0
4402,199.2,31,1.0
4403,4399.0,54,1.0
4404,799.0,54,5.0
4405,1049.0,28,2.0
4406,1549.0,25,2.0
4407,1399.0,54,1.0
4408,299.0,25,18.0
4409,1949.0,56,1.0
4410,299.0,57,3.0
4411,299.0,31,10.0
4413,299.0,25,32.0
4414,2049.0,25,7.0
4415,1549.0,12,19.0
4416,3499.0,12,19.0
4417,1249.0,25,4.0
4418,299.0,31,20.0
4419,899.0,27,1.0
4420,299.0,25,50.0
4421,299.0,31,34.0
4422,899.0,18,3.0
4423,599.0,54,3.0
4424,299.0,25,41.0
4425,299.0,28,15.0
4426,98.0,59,1.0
4427,299.0,31,42.0
4428,599.0,27,10.0
4429,599.0,25,1.0
4430,399.0,54,8.0
4431,299.0,31,78.0
4432,1199.0,17,1.0
4433,999.0,42,12.0
4434,449.0,57,1.0
4435,599.0,54,1.0
4436,1449.0,25,4.0
4437,1449.0,19,3.0
4438,199.0,54,7.0
4439,249.0,54,5.0
4440,99.0,54,9.0
4441,249.0,6,1.0
4442,299.0,31,10.0
4443,299.0,31,5.0
4444,299.0,56,3.0
4445,299.0,31,27.0
4446,299.0,25,4.0
4447,199.0,25,4.0
4448,449.0,31,5.0
4449,449.0,31,6.0
4450,449.0,31,6.0
4451,449.0,31,8.0
4452,199.0,54,1.0
4453,199.0,31,10.0
4454,1290.0,55,1.0
4455,399.0,31,17.0
4456,2699.0,25,11.0
4457,790.0,37,1.0
4458,2990.0,25,11.0
4459,995.0,55,1.0
4460,1990.0,55,1.0
4461,649.0,26,1.0
4462,649.0,50,4.0
4463,399.0,55,9.0
4464,599.0,31,19.0
4465,188.0,0,1.0
4466,1399.0,28,13.0
4467,1399.0,58,13.0
4468,599.0,43,1.0
4469,799.5,37,1.0
4470,2599.0,25,26.0
4471,2599.0,31,9.0
4472,6890.0,55,1.0
4473,5999.0,25,5.0
4474,899.0,27,43.0
4475,599.0,31,59.0
4476,1499.0,50,15.0
4477,1799.0,28,132.0
4478,2499.0,31,93.0
4479,3999.0,25,97.0
4480,1099.0,28,23.0
4481,1699.0,31,81.0
4482,2499.0,31,38.0
4483,350.0,55,101.0
4484,599.0,31,12.0
4485,599.0,27,10.0
4486,2499.0,19,3.0
4487,2499.0,18,2.0
4488,1699.0,23,1.0
4489,1699.0,43,2.0
4490,298.0,2,1.0
4491,99.0,55,1.0
4492,799.0,55,49.0
4493,699.0,31,109.0
4494,2999.0,31,33.0
4495,2999.0,25,4.0
4496,449.0,54,4.0
4497,599.0,31,60.0
4498,2499.0,25,19.0
4499,2499.0,57,12.0
4500,249.0,31,47.0
4501,160.0,55,12.0
4502,599.0,6,2.0
4503,698.0,19,1.0
4504,299.0,59,3.0
4505,854.0,12,1.0
4506,299.0,50,2.0
4507,299.0,54,7.0
4508,399.0,27,2.0
4509,148.0,54,1.0
4510,299.0,25,9.0
4511,1499.0,18,5.0
4512,899.0,28,2.0
4513,399.0,25,11.0
4514,1549.0,42,3.0
4515,1849.0,25,3.0
4516,349.0,25,79.0
4517,2299.0,25,3.0
4518,599.0,25,7.0
4519,399.0,54,5.0
4520,1749.0,27,5.0
4521,749.0,54,1.0
4522,449.0,54,3.0
4523,649.0,54,1.0
4524,298.0,25,1.0
4525,649.0,54,1.0
4526,248.0,28,1.0
4527,599.0,54,1.0
4528,899.0,25,2.0
4529,899.0,25,2.0
4530,279.0,6,4.0
4531,299.0,31,23.0
4532,899.0,27,3.0
4533,1648.5,29,1.0
4534,1190.0,31,21.0
4535,1390.0,31,5.0
4536,1299.0,15,1.0
4537,1190.0,57,10.0
4538,1690.0,27,20.0
4539,1690.0,57,2.0
4540,1690.0,57,1.0
4541,2690.0,31,1.0
4542,2490.0,59,5.0
4543,1990.0,54,4.0
4544,1990.0,54,7.0
4545,2490.0,24,12.0
4546,1990.0,31,2.0
4547,2890.0,29,3.0
4548,2990.0,57,46.0
4549,28.0,25,1.0
4550,1999.0,6,2.0
4551,299.0,31,37.0
4552,299.0,37,1.0
4553,299.0,31,16.0
4554,299.0,31,17.0
4555,399.0,25,32.0
4556,899.0,54,1.0
4557,449.0,31,12.0
4558,1549.0,25,11.0
4559,299.0,28,8.0
4560,2349.0,25,17.0
4561,749.0,28,32.0
4562,349.0,25,5.0
4563,999.0,31,1.0
4564,499.0,28,29.0
4565,299.0,25,14.0
4566,649.0,56,1.0
4567,78.4,22,1.0
4568,58.0,25,1.0
4569,148.0,25,1.0
4570,148.0,27,1.0
4571,299.0,31,40.0
4572,299.0,54,5.0
4573,349.0,31,93.0
4574,190.0,0,1.0
4575,198.0,31,6.0
4576,2999.0,31,5.0
4577,699.0,19,3.0
4578,699.0,59,2.0
4579,449.0,31,54.0
4580,2999.0,25,4.0
4581,899.0,6,4.0
4582,1749.0,57,1.0
4583,399.0,31,59.0
4584,899.0,27,12.0
4585,2449.0,42,1.0
4586,1949.0,37,2.0
4587,1049.0,6,2.0
4588,2999.0,31,2.0
4589,499.0,31,17.0
4590,649.0,54,1.0
4591,399.0,54,0.0
4592,22.4,50,1.0
4593,1499.0,25,2.0
4594,1549.0,25,2.0
4595,1549.0,25,3.0
4596,999.0,25,2.0
4597,299.0,31,30.0
4598,299.0,25,6.0
4599,1049.0,28,5.0
4600,148.0,6,3.0
4601,299.0,31,13.0
4602,349.0,54,22.0
4603,4149.0,25,1.0
4604,449.0,31,32.0
4605,1999.0,25,3.0
4606,1299.0,25,7.0
4607,349.0,31,37.0
4608,1399.0,25,27.0
4609,649.0,25,1.0
4610,349.0,31,53.0
4611,1399.0,25,3.0
4612,1649.0,25,6.0
4613,1399.0,18,2.0
4614,349.0,28,6.0
4615,449.0,31,60.0
4616,5149.0,25,3.0
4617,399.0,25,5.0
4618,1499.0,25,10.0
4619,499.0,54,1.0
4620,449.0,31,12.0
4621,499.0,31,13.0
4622,699.0,55,25.0
4623,299.0,6,3.0
4624,549.0,31,4.0
4625,749.0,25,1.0
4626,279.0,54,6.0
4627,299.0,31,5.0
4628,349.0,31,72.0
4629,2299.0,28,3.0
4630,949.0,54,5.0
4631,148.0,54,1.0
4632,199.0,16,4.0
4633,2549.0,54,54.0
4634,1599.0,54,34.0
4635,999.0,31,54.0
4636,999.0,31,40.0
4637,999.0,28,41.0
4638,1399.0,54,15.0
4639,1599.0,25,45.0
4640,1949.0,35,1.0
4641,299.0,25,18.0
4643,299.0,31,7.0
4644,299.0,44,4.0
4645,279.0,31,12.0
4646,299.0,31,23.0
4647,1499.0,17,2.0
4648,98.0,6,1.0
4649,999.0,6,1.0
4650,698.0,25,1.0
4651,299.0,31,5.0
4652,349.0,25,9.0
4653,299.0,31,5.0
4654,299.0,31,9.0
4655,249.0,25,3.0
4656,249.0,14,2.0
4657,549.0,25,8.0
4658,299.0,31,12.0
4659,1399.0,18,1.0
4660,1549.0,25,5.0
4661,1899.0,25,4.0
4662,699.0,31,8.0
4663,58.0,25,1.0
4664,1299.0,57,1.0
4665,1399.0,6,2.0
4666,299.0,31,5.0
4667,999.0,44,3.0
4668,299.0,31,9.0
4669,299.0,25,38.0
4670,299.0,25,1.0
4671,499.0,54,1.0
4672,58.0,31,1.0
4673,58.0,31,1.0
4674,98.0,31,1.0
4675,1949.0,25,3.0
4676,1549.0,6,1.0
4677,279.0,6,2.0
4678,349.0,31,48.0
4679,349.0,31,52.0
4680,349.0,28,6.0
4681,999.0,25,1.0
4682,1999.0,54,1.0
4683,1149.0,25,2.0
4684,1349.0,57,1.0
4685,1999.0,6,2.0
4686,299.0,6,7.0
4687,1004.0,0,2.0
4688,1499.0,24,47.0
4689,1499.0,24,24.0
4690,699.0,54,1.0
4691,699.0,24,21.0
4692,699.0,25,8.0
4693,1799.0,25,2.0
4694,299.0,31,42.0
4695,249.0,25,10.0
4696,249.0,25,3.0
4697,249.0,25,13.0
4698,249.0,25,10.0
4699,249.0,25,4.0
4700,249.0,25,12.0
4701,299.0,31,22.0
4702,299.0,25,27.0
4703,299.0,54,4.0
4704,299.0,31,6.0
4705,299.0,31,8.0
4706,299.0,25,53.0
4707,2799.0,27,1.0
4708,1749.0,42,10.0
4709,1199.0,25,5.0
4710,449.0,25,31.0
4711,299.0,31,14.0
4712,299.0,31,62.0
4713,1499.0,25,11.0
4714,749.0,25,10.0
4715,299.0,31,24.0
4716,349.0,25,1.0
4717,299.0,31,108.0
4718,248.0,6,1.0
4719,999.0,9,87.0
4720,1049.0,55,59.0
4721,3599.0,31,67.0
4722,3599.0,9,8.0
4723,599.0,31,101.0
4724,1399.0,31,43.0
4725,1399.0,52,1.0
4726,141.0,10,1.0
4727,148.0,4,1.0
4728,399.0,45,178.0
4729,749.0,55,1.0
4730,290.0,55,1.0
4731,399.0,55,10.0
4732,349.0,55,10.0
4733,449.0,55,11.0
4734,199.0,55,17.0
4735,198.0,14,1.0
4736,349.0,25,11.0
4737,320.0,55,1.0
4738,119.0,55,1.0
4739,450.0,55,60.0
4740,25.0,55,15.0
4741,25.0,55,9.0
4742,25.0,55,9.0
4743,25.0,55,10.0
4744,35.0,55,14.0
4745,35.0,55,18.0
4746,60.0,55,21.0
4747,60.0,55,43.0
4748,35.0,55,13.0
4749,25.0,55,7.0
4750,30.0,55,26.0
4751,25.0,55,6.0
4752,25.0,55,6.0
4753,60.0,55,35.0
4754,170.0,55,69.0
4755,190.0,55,73.0
4756,30.0,55,10.0
4757,30.0,55,14.0
4758,30.0,55,28.0
4759,25.0,55,11.0
4760,35.0,55,14.0
4761,35.0,55,22.0
4762,35.0,55,14.0
4763,25.0,55,13.0
4764,95.0,55,79.0
4765,300.0,55,47.0
4766,300.0,55,38.0
4767,199.0,55,11.0
4768,98.0,41,1.0
4769,449.0,31,61.0
4770,399.0,55,13.0
4771,499.0,44,1.0
4772,399.0,55,39.0
4773,799.0,31,20.0
4774,799.0,44,1.0
4775,599.0,55,20.0
4776,799.0,31,11.0
4777,699.0,55,43.0
4778,299.0,55,64.0
4779,499.0,31,164.0
4780,1199.0,25,25.0
4781,1199.0,31,38.0
4782,899.0,55,23.0
4783,399.0,55,48.0
4784,499.0,22,1.0
4785,399.0,55,22.0
4786,399.0,55,28.0
4787,79.0,55,2.0
4788,699.0,55,78.0
4789,419.0,55,45.0
4790,599.0,31,114.0
4791,799.0,25,25.0
4792,1799.0,31,57.0
4793,1799.0,31,25.0
4794,99.0,55,3.0
4795,149.0,55,6.0
4796,99.0,55,2.0
4797,299.0,55,17.0
4798,1198.0,31,1.0
4799,299.0,55,37.0
4800,299.0,57,73.0
4801,299.0,12,2.0
4802,799.0,27,10.0
4803,799.0,57,1.0
4804,28.0,22,1.0
4805,299.0,22,7.0
4806,299.0,24,202.0
4807,1999.0,28,78.0
4808,1999.0,27,71.0
4809,1199.0,31,159.0
4810,2599.0,18,65.0
4811,2599.0,28,55.0
4812,599.0,31,19.0
4813,148.0,43,1.0
4814,899.0,31,27.0
4815,899.0,7,1.0
4816,199.0,55,3.0
4817,473.0,10,1.0
4818,599.0,23,1.0
4819,299.5,42,1.0
4820,449.0,42,1.0
4821,299.0,31,95.0
4822,1999.0,25,15.0
4823,1999.0,24,1.0
4824,149.0,55,4.0
4825,1200.0,55,1.0
4826,398.0,30,1.0
4827,2499.0,42,65.0
4828,2499.0,31,20.0
4829,3999.0,41,5.0
4830,3999.0,57,2.0
4831,999.0,31,27.0
4832,1399.0,31,10.0
4833,1799.0,53,1.0
4834,498.0,25,1.0
4835,1699.0,25,39.0
4836,1999.0,25,64.0
4837,1699.0,42,32.0
4838,1399.0,42,44.0
4839,3999.0,42,13.0
4840,4699.0,25,74.0
4841,3999.0,31,5.0
4842,4699.0,42,4.0
4843,9999.0,12,50.0
4844,9999.0,12,5.0
4845,2199.0,9,46.0
4846,299.0,55,20.0
4847,299.0,55,8.0
4848,599.0,55,62.0
4849,398.0,14,1.0
4850,5772.0,55,1.0
4851,5772.0,55,12.0
4852,5772.0,55,1.0
4853,3920.0,55,2.0
4854,1750.0,55,2.0
4855,3920.0,55,3.0
4856,21050.0,55,1.0
4857,16132.0,55,2.0
4858,5772.0,55,3.0
4859,2580.0,55,11.0
4860,7998.0,2,1.0
4861,8790.0,16,9.0
4862,3920.0,55,1.0
4863,10960.0,55,1.0
4864,119.0,55,116.0
4865,1999.0,55,118.0
4866,2299.0,55,59.0
4867,398.0,19,1.0
4868,248.0,28,1.0
4869,1499.0,28,83.0
4870,1299.0,58,584.0
4871,1299.0,28,29.0
4872,1499.0,28,342.0
4873,1499.0,28,129.0
4874,1829.0,31,4.0
4875,1399.0,30,2.0
4876,299.0,55,14.0
4877,139.0,22,84.0
4878,100.0,55,326.0
4879,483.0,51,1.0
4880,899.0,47,1.0
4881,10.0,55,11.0
4882,1399.0,3,1.0
4883,1199.0,18,1.0
4884,299.0,31,82.0
4885,1799.0,31,124.0
4886,1799.0,18,238.0
4887,899.0,12,2.0
4888,698.0,22,2.0
4889,599.0,7,14.0
4890,799.0,4,6.0
4891,899.0,31,7.0
4892,999.0,31,89.0
4893,1049.0,55,23.0
4894,3999.0,25,233.0
4895,3999.0,25,41.0
4896,7999.0,12,134.0
4897,7999.0,12,11.0
4898,499.0,55,23.0
4899,1349.0,55,77.0
4900,1499.0,55,20.0
4901,2399.0,31,53.0
4902,1499.0,12,2.0
4903,249.0,55,20.0
4904,399.0,31,242.0
4905,419.0,55,28.0
4906,1999.0,25,144.0
4907,1999.0,58,127.0
4908,899.0,18,50.0
4909,1499.0,59,1.0
4910,599.0,31,60.0
4911,899.0,54,9.0
4912,299.0,55,96.0
4913,27.0,0,1.0
4914,903.0,55,1.0
4915,490.0,55,5.0
4916,1699.0,53,1.0
4917,799.0,55,2.0
4918,590.0,55,2.0
4919,990.0,55,4.0
4920,1372.0,31,24.0
4921,1390.0,55,5.0
4922,999.0,25,1.0
4923,999.0,43,9.0
4924,990.0,55,7.0
4926,2890.0,55,1.0
4927,1490.0,55,7.0
4928,2890.0,55,2.0
4929,1490.0,55,6.0
4930,990.0,55,4.0
4931,990.0,55,1.0
4932,1199.0,55,1.0
4933,1119.0,12,2.0
4934,990.0,42,12.0
4935,990.0,31,7.0
4936,1990.0,55,1.0
4937,990.0,55,3.0
4938,990.0,31,13.0
4939,990.0,55,13.0
4940,1990.0,55,2.0
4941,1393.0,55,1.0
4942,1990.0,55,6.0
4943,1990.0,55,11.0
4944,1499.0,25,20.0
4945,1393.0,55,2.0
4946,1990.0,55,15.0
4947,990.0,55,9.0
4948,990.0,55,4.0
4949,990.0,55,2.0
4950,1119.0,55,2.0
4951,1990.0,55,1.0
4952,990.0,55,5.0
4953,1190.0,55,3.0
4954,1290.0,55,13.0
4955,1990.0,55,1.0
4956,699.0,31,5.0
4957,690.0,55,2.0
4958,483.0,55,1.0
4959,690.0,55,7.0
4960,899.0,27,28.0
4961,899.0,30,2.0
4962,599.0,31,80.0
4963,2599.0,31,17.0
4964,2999.0,25,52.0
4965,2599.0,28,10.0
4966,2999.0,35,4.0
4967,99.0,55,2.0
4968,199.0,25,15.0
4969,2199.0,54,4.0
4970,549.0,25,4.0
4971,199.0,55,2.0
4972,299.0,38,5.0
4973,1599.0,25,2.0
4974,1849.0,25,3.0
4975,2099.0,25,6.0
4976,1549.0,25,4.0
4977,2249.0,28,5.0
4978,349.0,54,4.0
4979,299.0,31,34.0
4980,449.0,31,17.0
4981,1349.0,25,6.0
4982,299.0,54,8.0
4983,2999.0,25,1.0
4984,299.0,31,16.0
4985,399.0,54,1.0
4986,1598.0,38,1.0
4987,999.0,15,1.0
4988,2599.0,54,4.0
4989,999.0,4,1.0
4990,2599.0,42,4.0
4991,849.0,55,15.0
4992,2599.0,54,17.0
4993,2999.0,42,41.0
4994,2599.0,50,10.0
4995,1999.0,55,20.0
4996,2999.0,42,22.0
4997,3199.0,25,25.0
4998,2999.0,25,11.0
4999,3199.0,31,6.0
5000,1799.0,55,3.0
5001,1799.0,55,5.0
5002,2999.0,25,4.0
5003,3999.0,25,14.0
5004,2999.0,42,4.0
5005,3999.0,25,5.0
5006,2299.0,55,2.0
5007,140.0,55,12.0
5008,1399.0,15,1.0
5009,2599.0,25,17.0
5010,2999.0,31,6.0
5011,2999.0,27,6.0
5012,399.0,31,38.0
5013,1499.0,25,14.0
5014,699.0,28,23.0
5015,299.0,54,4.0
5016,4490.0,23,1.0
5017,4990.0,24,10.0
5018,3990.0,31,5.0
5019,4490.0,24,7.0
5020,4000.0,55,4.0
5021,299.0,31,11.0
5022,299.0,31,12.0
5023,98.0,37,2.0
5024,299.0,27,5.0
5026,299.0,31,15.0
5027,498.0,31,2.0
5028,398.0,31,1.0
5029,299.0,55,10.0
5030,799.0,56,2.0
5031,1399.0,14,28.0
5032,1199.0,27,20.0
5033,2599.0,25,106.0
5034,2599.0,25,63.0
5035,1999.0,38,182.0
5036,1999.0,38,157.0
5037,2599.0,38,83.0
5038,2999.0,25,86.0
5039,2599.0,28,70.0
5040,2999.0,25,24.0
5041,3999.0,31,26.0
5042,3999.0,59,3.0
5043,2999.0,12,8.0
5044,2999.0,38,7.0
5045,299.0,54,36.0
5046,349.0,31,51.0
5047,1549.0,28,2.0
5048,299.0,35,7.0
5049,1515.0,12,1.0
5050,298.0,54,1.0
5051,349.0,25,34.0
5052,449.0,28,8.0
5053,1815.0,12,1.0
5054,299.0,31,16.0
5055,299.0,31,13.0
5056,248.0,25,1.0
5057,2299.0,57,4.0
5058,1999.0,25,5.0
5059,1549.0,28,18.0
5060,349.0,25,81.0
5061,1049.0,30,1.0
5062,349.0,54,11.0
5063,1849.0,57,9.0
5065,229.0,31,21.0
5066,299.0,31,14.0
5067,2500.0,55,13.0
5068,2290.0,22,58.0
5069,1190.0,52,1.0
5070,1590.0,24,76.0
5071,749.0,55,1.0
5072,188.0,10,1.0
5073,58.0,29,1.0
5074,499.0,25,6.0
5075,399.0,31,5.0
5076,1699.0,25,4.0
5077,499.0,25,6.0
5078,499.0,25,6.0
5079,999.0,25,6.0
5080,999.0,25,2.0
5081,999.0,25,6.0
5082,499.0,25,6.0
5083,449.0,25,45.0
5084,399.0,25,5.0
5085,349.0,25,2.0
5086,349.0,25,7.0
5087,449.0,25,20.0
5088,749.0,25,10.0
5089,449.0,25,30.0
5090,449.0,25,12.0
5091,449.0,25,8.0
5092,599.0,25,37.0
5093,449.0,25,23.0
5094,399.0,25,19.0
5095,549.0,25,25.0
5096,1199.0,25,59.0
5097,449.0,25,23.0
5098,449.0,25,15.0
5099,13899.0,31,5.0
5100,799.0,25,20.0
5101,499.0,25,16.0
5102,999.0,25,15.0
5103,399.0,25,13.0
5104,449.0,25,33.0
5105,499.0,31,4.0
5106,499.0,25,20.0
5107,349.0,25,9.0
5108,399.0,25,13.0
5109,349.0,25,14.0
5110,399.0,31,16.0
5111,449.0,25,8.0
5112,449.0,54,3.0
5113,449.0,25,4.0
5114,1189.0,31,9.0
5115,1049.0,25,24.0
5116,549.0,25,25.0
5117,749.0,25,7.0
5118,399.0,25,4.0
5119,349.0,25,17.0
5120,399.0,25,4.0
5122,499.0,25,13.0
5123,349.0,25,9.0
5124,4999.0,25,2.0
5125,1199.0,25,79.0
5126,449.0,25,15.0
5127,399.0,25,6.0
5128,499.0,25,48.0
5129,349.0,25,15.0
